file,class,method,variable,usage
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/Lab-Medi-o/../ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$ECDHSessionKey$Builder,"mergeFrom/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]",input,1
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/Lab-Medi-o/../ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$ECDHSessionKey$Builder,"mergeFrom/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]",extensionRegistry,1
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/Lab-Medi-o/../ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$ECDHSessionKey$Builder,"mergeFrom/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]",e,2
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/Lab-Medi-o/../ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$ECDHSessionKey$Builder,"mergeFrom/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]",parsedMessage,4
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/Lab-Medi-o/../ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$ECDHSessionKey$Builder,mergeUnknownFields/1[com.google.protobuf.UnknownFieldSet],unknownFields,1
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/Lab-Medi-o/../ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$ECDHSessionKey$Builder,clearField/1[com.google.protobuf.Descriptors.FieldDescriptor],field,1
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/Lab-Medi-o/../ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$ECDHSessionKey$Builder,setUnknownFields/1[com.google.protobuf.UnknownFieldSet],unknownFields,1
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/Lab-Medi-o/../ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$ECDHSessionKey$Builder,Builder/1[com.google.protobuf.GeneratedMessageV3.BuilderParent],parent,1
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/Lab-Medi-o/../ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$ECDHSessionKey$Builder,"addRepeatedField/2[com.google.protobuf.Descriptors.FieldDescriptor,java.lang.Object]",field,1
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/Lab-Medi-o/../ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$ECDHSessionKey$Builder,"addRepeatedField/2[com.google.protobuf.Descriptors.FieldDescriptor,java.lang.Object]",value,1
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/Lab-Medi-o/../ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$ECDHSessionKey$Builder,buildPartial/0,result,3
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/Lab-Medi-o/../ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$ECDHSessionKey$Builder,buildPartial/0,from_bitField0_,1
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/Lab-Medi-o/../ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$ECDHSessionKey$Builder,buildPartial/0,to_bitField0_,2
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/Lab-Medi-o/../ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$ECDHSessionKey$Builder,build/0,result,3
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/Lab-Medi-o/../ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$ECDHSessionKey$Builder,clearOneof/1[com.google.protobuf.Descriptors.OneofDescriptor],oneof,1
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/Lab-Medi-o/../ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$ECDHSessionKey$Builder,mergeFrom/1[com.google.protobuf.Message],other,3
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/Lab-Medi-o/../ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$ECDHSessionKey$Builder,"setField/2[com.google.protobuf.Descriptors.FieldDescriptor,java.lang.Object]",field,1
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/Lab-Medi-o/../ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$ECDHSessionKey$Builder,"setField/2[com.google.protobuf.Descriptors.FieldDescriptor,java.lang.Object]",value,1
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/Lab-Medi-o/../ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$ECDHSessionKey$Builder,mergeFrom/1[com.satoshilabs.trezor.lib.protobuf.TrezorMessage.ECDHSessionKey],other,4
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/Lab-Medi-o/../ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$ECDHSessionKey$Builder,"setRepeatedField/3[com.google.protobuf.Descriptors.FieldDescriptor,int,java.lang.Object]",field,1
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/Lab-Medi-o/../ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$ECDHSessionKey$Builder,"setRepeatedField/3[com.google.protobuf.Descriptors.FieldDescriptor,int,java.lang.Object]",index,1
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/Lab-Medi-o/../ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$ECDHSessionKey$Builder,"setRepeatedField/3[com.google.protobuf.Descriptors.FieldDescriptor,int,java.lang.Object]",value,1
