file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/./ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$SuccessOrBuilder,interface,2,2,0,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/./ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$ECDHSessionKey$Builder,innerclass,14,14,0,14,37,1,0,26,307,0.84615386,0.05533597,0.05928854,26,1,22,3,1,0,23,0,4,0,2,0,0,2,0,0,0,0,3,134,25,0,5,1,6,0,9,17,0,7,2,0,0,0,75,25,0
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/./ck/fixtures/generics/Generics.java,bg.Generics,class,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/./ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$NEMDecryptMessage,innerclass,14,14,0,14,95,2,0,45,726,0.9249531,0.04723347,0.0877193,41,17,36,3,2,0,39,0,3,0,13,7,5,8,0,0,7,0,4,561,43,4,23,1,39,0,74,70,21,28,4,1,1,0,163,25,0
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/./ck/src/main/java/com/github/mauricioaniche/ck/metric/NumberOfMaxNestedBlock.java,com.github.mauricioaniche.ck.metric.NumberOfMaxNestedBlock,class,17,18,1,17,32,1,0,18,115,0.7636364,0.26900584,0.26900584,22,0,19,3,0,0,19,0,0,0,5,0,0,5,0,0,0,0,3,134,1,0,0,0,2,0,6,14,2,13,1,0,0,0,41,1,0
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/./ck/fixtures/javadoc/JDoc3.java,javadoc.JDoc3$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,-1,0
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/./ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$CipheredKeyValue$Builder,innerclass,14,14,0,14,37,1,0,26,307,0.84615386,0.05533597,0.05928854,26,1,22,3,1,0,23,0,4,0,2,0,0,2,0,0,0,0,3,134,25,0,5,1,6,0,9,17,0,7,2,0,0,0,72,25,0
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/./ck/fixtures/numbers/Numbers.java,numbers.Numbers,class,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5,5,0,4,0,0,0,0,8,0,0
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/./ck/fixtures/real-world-huge-class/TrezorMessage.java,com.satoshilabs.trezor.lib.protobuf.TrezorMessage$ECDHSessionKey,innerclass,14,14,0,14,57,2,0,24,527,0.9243697,0.030241935,0.032258064,34,17,29,3,2,0,32,0,3,0,7,4,2,5,0,0,4,0,2,332,36,1,11,1,12,0,26,34,8,17,4,1,1,0,122,25,0
/run/media/lain/5fc7fd01-6487-4f39-8109-556023ff1f7f/puc/6 SEM/experimentação/./ck/src/main/java/com/github/mauricioaniche/ck/metric/Coupling.java,com.github.mauricioaniche.ck.metric.Coupling,class,40,41,1,40,84,1,0,65,0,0.6781609,0.6571429,0.7285714,29,0,21,8,0,0,21,0,0,0,3,0,0,3,0,0,0,0,2,241,11,3,35,1,0,10,1,28,0,31,4,0,0,4,70,1,0
