nameWithOwner,createdAt,age
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,10
sindresorhus/awesome,2014-07-11T13:42:37Z,9
jwasham/coding-interview-university,2016-06-06T02:34:12Z,7
kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,6
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,5
donnemartin/system-design-primer,2017-02-26T16:15:28Z,7
facebook/react,2013-05-24T16:15:54Z,10
vinta/awesome-python,2014-06-27T21:00:06Z,9
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,5
TheAlgorithms/Python,2016-07-16T09:44:01Z,7
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,8
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,14
torvalds/linux,2011-09-04T22:48:12Z,12
twbs/bootstrap,2011-07-29T21:19:00Z,12
flutter/flutter,2015-03-06T22:54:58Z,9
ossu/computer-science,2014-05-04T00:18:39Z,9
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,6
github/gitignore,2010-11-08T20:17:14Z,13
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,8
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,5
ytdl-org/youtube-dl,2010-10-31T14:35:07Z,13
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,5
AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,1
labuladong/fucking-algorithm,2020-02-19T09:01:23Z,4
huggingface/transformers,2018-10-29T13:56:00Z,5
vercel/next.js,2016-10-05T23:32:51Z,7
justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,10
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,7
microsoft/PowerToys,2019-05-01T17:44:02Z,4
nodejs/node,2014-11-26T19:57:11Z,9
facebook/create-react-app,2016-07-17T14:55:11Z,7
f/awesome-chatgpt-prompts,2022-12-05T13:54:13Z,1
Genymobile/scrcpy,2017-11-21T18:00:27Z,6
mrdoob/three.js,2010-03-23T18:58:01Z,13
goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,6
denoland/deno,2018-05-15T01:34:26Z,5
rust-lang/rust,2010-06-16T20:39:03Z,13
ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,7
puppeteer/puppeteer,2017-05-09T22:16:13Z,6
iluwatar/java-design-patterns,2014-08-09T16:45:18Z,9
PanJiaChen/vue-element-admin,2017-04-17T03:35:49Z,6
521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,7
nvbn/thefuck,2015-04-08T15:08:04Z,8
ripienaar/free-for-dev,2015-03-18T21:06:26Z,8
godotengine/godot,2014-01-04T16:05:36Z,10
langchain-ai/langchain,2022-10-17T02:58:36Z,1
fatedier/frp,2015-12-21T15:24:59Z,8
gothinkster/realworld,2016-02-26T20:49:53Z,8
tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,6
tensorflow/models,2016-02-05T01:15:20Z,8
pytorch/pytorch,2016-08-13T05:26:41Z,7
django/django,2012-04-28T02:47:18Z,11
tauri-apps/tauri,2019-07-13T09:09:37Z,4
sveltejs/svelte,2016-11-20T18:13:05Z,7
Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,7
MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,5
tonsky/FiraCode,2014-11-11T19:32:38Z,9
bitcoin/bitcoin,2010-12-19T15:16:43Z,13
macrozheng/mall,2018-04-04T01:11:44Z,5
florinpop17/app-ideas,2019-02-25T18:36:56Z,5
FortAwesome/Font-Awesome,2012-02-17T14:19:43Z,12
spring-projects/spring-boot,2012-10-19T15:02:57Z,11
excalidraw/excalidraw,2020-01-02T01:04:43Z,4
yt-dlp/yt-dlp,2020-10-26T04:22:55Z,3
netdata/netdata,2013-06-17T18:39:10Z,10
base-org/node,2023-02-01T13:55:02Z,1
hakimel/reveal.js,2011-06-07T18:54:22Z,12
pallets/flask,2010-04-06T11:11:59Z,13
mermaid-js/mermaid,2014-11-01T23:52:32Z,9
apple/swift,2015-10-23T21:15:07Z,8
DopplerHQ/awesome-interview-questions,2015-11-28T09:48:17Z,8
