nameWithOwner,primaryLanguage
EbookFoundation/free-programming-books,
jwasham/coding-interview-university,
kamranahmedse/developer-roadmap,TypeScript
facebook/react,JavaScript
vinta/awesome-python,Python
trekhleb/javascript-algorithms,JavaScript
TheAlgorithms/Python,Python
awesome-selfhosted/awesome-selfhosted,
CyC2018/CS-Notes,
ohmyzsh/ohmyzsh,Shell
torvalds/linux,C
twbs/bootstrap,JavaScript
ossu/computer-science,
practical-tutorials/project-based-learning,
jlevy/the-art-of-command-line,
ytdl-org/youtube-dl,Python
labuladong/fucking-algorithm,Markdown
huggingface/transformers,Python
Chalarangelo/30-seconds-of-code,JavaScript
yangshun/tech-interview-handbook,TypeScript
d3/d3,Shell
microsoft/PowerToys,C#
facebook/create-react-app,JavaScript
f/awesome-chatgpt-prompts,HTML
denoland/deno,Rust
rust-lang/rust,Rust
mui/material-ui,TypeScript
ant-design/ant-design,TypeScript
ryanmcdermott/clean-code-javascript,JavaScript
PanJiaChen/vue-element-admin,Vue
storybookjs/storybook,TypeScript
ripienaar/free-for-dev,HTML
langchain-ai/langchain,Python
gothinkster/realworld,TypeScript
tailwindlabs/tailwindcss,HTML
tensorflow/models,Python
Hack-with-Github/Awesome-Hacking,
neovim/neovim,Vim Script
MisterBooo/LeetCodeAnimation,Java
tonsky/FiraCode,Clojure
macrozheng/mall,Java
doocs/advanced-java,Java
FortAwesome/Font-Awesome,JavaScript
yt-dlp/yt-dlp,Python
thedaviddias/Front-End-Checklist,
hakimel/reveal.js,JavaScript
pallets/flask,Python
apple/swift,C++
microsoft/ML-For-Beginners,HTML
ChatGPTNextWeb/ChatGPT-Next-Web,TypeScript
supabase/supabase,TypeScript
vitejs/vite,TypeScript
anuraghazra/github-readme-stats,JavaScript
protocolbuffers/protobuf,C++
MunGell/awesome-for-beginners,
leonardomso/33-js-concepts,JavaScript
ansible/ansible,Python
reduxjs/redux,TypeScript
adam-p/markdown-here,JavaScript
hoppscotch/hoppscotch,TypeScript
Anduin2017/HowToCook,Shell
angular/angular.js,JavaScript
junegunn/fzf,Go
shadowsocks/shadowsocks-windows,C#
openai/whisper,Python
awesomedata/awesome-public-datasets,
apache/superset,TypeScript
tesseract-ocr/tesseract,C++
chrislgarry/Apollo-11,Assembly
d2l-ai/d2l-zh,Python
gatsbyjs/gatsby,JavaScript
ocornut/imgui,C++
openai/openai-cookbook,MDX
obsproject/obs-studio,C
azl397985856/leetcode,JavaScript
prakhar1989/awesome-courses,
scutan90/DeepLearning-500-questions,JavaScript
ggerganov/llama.cpp,C++
binhnguyennus/awesome-scalability,
prometheus/prometheus,Go
shadcn-ui/ui,TypeScript
facebook/docusaurus,TypeScript
nuxt/nuxt,TypeScript
meta-llama/llama,Python
Solido/awesome-flutter,Dart
Alvin9999/new-pac,
google/guava,Java
PlexPt/awesome-chatgpt-prompts-zh,
git/git,C
nektos/act,Go
wasabeef/awesome-android-ui,
juliangarnier/anime,JavaScript
moment/moment,JavaScript
AppFlowy-IO/AppFlowy,Dart
commaai/openpilot,Python
pi-hole/pi-hole,Shell
serverless/serverless,JavaScript
jgraph/drawio-desktop,JavaScript
minimaxir/big-list-of-naughty-strings,Python
mozilla/pdf.js,JavaScript
keras-team/keras,Python
FuelLabs/sway,Rust
reduxjs/redux,TypeScript
microsoft/playwright,TypeScript
atom/atom,JavaScript
grafana/grafana,TypeScript
adam-p/markdown-here,JavaScript
strapi/strapi,TypeScript
2dust/v2rayN,C#
xingshaocheng/architect-awesome,
lydiahallie/javascript-questions,
kelseyhightower/nocode,Dockerfile
angular/angular.js,JavaScript
python/cpython,Python
jquery/jquery,JavaScript
h5bp/Front-end-Developer-Interview-Questions,Nunjucks
syncthing/syncthing,Go
lodash/lodash,JavaScript
apache/echarts,TypeScript
shadowsocks/shadowsocks-windows,C#
scikit-learn/scikit-learn,Python
awesomedata/awesome-public-datasets,
tesseract-ocr/tesseract,C++
ventoy/Ventoy,C
3b1b/manim,Python
swisskyrepo/PayloadsAllTheThings,Python
h5bp/html5-boilerplate,JavaScript
sdmg15/Best-websites-a-programmer-should-visit,
bradtraversy/design-resources-for-developers,
sindresorhus/awesome-nodejs,
gatsbyjs/gatsby,JavaScript
spring-projects/spring-framework,Java
rails/rails,Ruby
xtekky/gpt4free,Python
Eugeny/tabby,TypeScript
caddyserver/caddy,Go
scutan90/DeepLearning-500-questions,JavaScript
binary-husky/gpt_academic,Python
danielmiessler/SecLists,PHP
FuelLabs/fuel-core,Rust
shadcn-ui/ui,TypeScript
facebook/docusaurus,TypeScript
alacritty/alacritty,Rust
remix-run/react-router,TypeScript
localstack/localstack,Python
ageitgey/face_recognition,Python
psf/requests,Python
nuxt/nuxt,TypeScript
meta-llama/llama,Python
Semantic-Org/Semantic-UI,JavaScript
Solido/awesome-flutter,Dart
ryanoasis/nerd-fonts,CSS
sherlock-project/sherlock,Python
google/material-design-icons,
gpt-engineer-org/gpt-engineer,Python
google/guava,Java
PlexPt/awesome-chatgpt-prompts-zh,
git/git,C
nektos/act,Go
deepfakes/faceswap,Python
imartinez/privateGPT,Python
juliangarnier/anime,JavaScript
jekyll/jekyll,Ruby
jgthms/bulma,CSS
prettier/prettier,JavaScript
tldr-pages/tldr,Markdown
moment/moment,JavaScript
ReactiveX/RxJava,Java
AppFlowy-IO/AppFlowy,Dart
louislam/uptime-kuma,JavaScript
traefik/traefik,Go
ollama/ollama,Go
NARKOZ/hacker-scripts,JavaScript
commaai/openpilot,Python
DefinitelyTyped/DefinitelyTyped,TypeScript
NationalSecurityAgency/ghidra,Java
Textualize/rich,Python
chinese-poetry/chinese-poetry,JavaScript
lencx/ChatGPT,Rust
youngyangyang04/leetcode-master,Shell
etcd-io/etcd,Go
serverless/serverless,JavaScript
cypress-io/cypress,JavaScript
algorithm-visualizer/algorithm-visualizer,JavaScript
jgraph/drawio-desktop,JavaScript
iamadamdev/bypass-paywalls-chrome,JavaScript
mozilla/pdf.js,JavaScript
mastodon/mastodon,Ruby
iamkun/dayjs,JavaScript
vsouza/awesome-ios,Swift
ethereum/go-ethereum,Go
square/okhttp,Kotlin
tiimgreen/github-cheat-sheet,
labmlai/annotated_deep_learning_paper_implementations,Jupyter Notebook
ziishaned/learn-regex,
JuliaLang/julia,Julia
meteor/meteor,JavaScript
marktext/marktext,JavaScript
vuejs/core,TypeScript
jesseduffield/lazygit,Go
parcel-bundler/parcel,JavaScript
facebookresearch/segment-anything,Jupyter Notebook
wagoodman/dive,Go
babel/babel,TypeScript
astaxie/build-web-application-with-golang,Go
square/retrofit,Java
agalwood/Motrix,JavaScript
gorhill/uBlock,JavaScript
meilisearch/meilisearch,Rust
dair-ai/Prompt-Engineering-Guide,MDX
PKUFlyingPig/cs-self-learning,HTML
pixijs/pixijs,TypeScript
laurent22/joplin,TypeScript
rust-unofficial/awesome-rust,Rust
KillianLucas/open-interpreter,Python
k88hudson/git-flight-rules,
FFmpeg/FFmpeg,C
yarnpkg/yarn,JavaScript
go-gitea/gitea,Go
withastro/astro,TypeScript
hashicorp/terraform,Go
huginn/huginn,Ruby
bailicangdu/vue2-elm,Vue
Asabeneh/30-Days-Of-JavaScript,JavaScript
FuelLabs/fuels-rs,Rust
google/zx,JavaScript
ruanyf/weekly,
Unitech/pm2,JavaScript
FuelLabs/fuels-ts,TypeScript
appwrite/appwrite,TypeScript
discourse/discourse,Ruby
nwjs/nw.js,JavaScript
styled-components/styled-components,TypeScript
streamich/react-use,TypeScript
apache/dubbo,Java
brillout/awesome-react-components,
starship/starship,Rust
yangshun/front-end-interview-handbook,MDX
Leaflet/Leaflet,JavaScript
GitSquared/edex-ui,JavaScript
akullpp/awesome-java,
nlohmann/json,C++
n8n-io/n8n,TypeScript
react-hook-form/react-hook-form,TypeScript
serhii-londar/open-source-mac-os-apps,
Dogfalo/materialize,JavaScript
vuetifyjs/vuetify,TypeScript
quilljs/quill,TypeScript
fastlane/fastlane,Ruby
skylot/jadx,Java
THUDM/ChatGLM-6B,Python
hexojs/hexo,TypeScript
kelseyhightower/kubernetes-the-hard-way,
jgraph/drawio,JavaScript
microsoft/monaco-editor,JavaScript
apachecn/ailearning,Python
PaddlePaddle/PaddleOCR,Python
jeecgboot/jeecg-boot,Java
chubin/cheat.sh,Python
floodsung/Deep-Learning-Papers-Reading-Roadmap,Python
PhilJay/MPAndroidChart,Java
Kong/kong,Lua
psf/black,Python
videojs/video.js,JavaScript
LeCoupa/awesome-cheatsheets,JavaScript
dbeaver/dbeaver,Java
hpcaitech/ColossalAI,Python
FreeCodeCampChina/freecodecamp.cn,CSS
tabler/tabler,HTML
google-research/bert,Python
wg/wrk,C
getsentry/sentry,Python
LAION-AI/Open-Assistant,Python
opentofu/manifesto,HTML
Light-City/CPlusPlusThings,C++
chakra-ui/chakra-ui,MDX
freefq/free,
phaserjs/phaser,JavaScript
metabase/metabase,Clojure
alist-org/alist,Go
preactjs/preact,JavaScript
pingcap/tidb,Go
pyenv/pyenv,Roff
acmesh-official/acme.sh,Shell
slatedocs/slate,SCSS
eugenp/tutorials,Java
dylanaraps/pure-bash-bible,Shell
lyswhut/lx-music-desktop,TypeScript
ant-design/ant-design-pro,TypeScript
Stability-AI/stablediffusion,Python
lerna/lerna,TypeScript
open-guides/og-aws,Shell
gto76/python-cheatsheet,Python
go-gorm/gorm,Go
exacity/deeplearningbook-chinese,TeX
geekan/MetaGPT,Python
cli/cli,Go
satwikkansal/wtfpython,Python
google/leveldb,C++
koajs/koa,JavaScript
blueimp/jQuery-File-Upload,PHP
Ryujinx/Ryujinx,C#
halo-dev/halo,Java
ccxt/ccxt,Python
TheAlgorithms/JavaScript,JavaScript
gofiber/fiber,Go
beego/beego,Go
streamlit/streamlit,Python
certbot/certbot,Python
alebcay/awesome-shell,
alibaba/easyexcel,Java
1c7/chinese-independent-developer,
ray-project/ray,Python
mqyqingfeng/Blog,
fastify/fastify,JavaScript
Binaryify/NeteaseCloudMusicApi,
karpathy/nanoGPT,Python
sqlmapproject/sqlmap,Python
ziadoz/awesome-php,
fengdu78/Coursera-ML-AndrewNg-Notes,HTML
ReactiveX/rxjs,TypeScript
lib-pku/libpku,TeX
amix/vimrc,Vim Script
Chanzhaoyu/chatgpt-web,Vue
swc-project/swc,Rust
saadeghi/daisyui,Svelte
yewstack/yew,MDX
termux/termux-app,Java
foundation/foundation-sites,HTML
niklasvh/html2canvas,TypeScript
CMU-Perceptual-Computing-Lab/openpose,C++
pcottle/learnGitBranching,JavaScript
Asabeneh/30-Days-Of-Python,Python
hashicorp/vault,Go
ariya/phantomjs,C++
nushell/nushell,Rust
ziglang/zig,Zig
SimplifyJobs/Summer2024-Internships,
react-boilerplate/react-boilerplate,JavaScript
geekcomputers/Python,Python
0xAX/linux-insides,Python
lukehoban/es6features,
CSSEGISandData/COVID-19,
huggingface/pytorch-image-models,Python
reworkd/AgentGPT,TypeScript
square/leakcanary,Kotlin
logseq/logseq,Clojure
SeleniumHQ/selenium,Java
python-poetry/poetry,Python
jellyfin/jellyfin,C#
aosabook/500lines,JavaScript
webtorrent/webtorrent,JavaScript
toeverything/AFFiNE,TypeScript
helix-editor/helix,Rust
geekan/HowToLiveLonger,
microsoft/calculator,C++
zed-industries/zed,Rust
jqlang/jq,C
tatsu-lab/stanford_alpaca,Python
coolsnowwolf/lede,C
spacedriveapp/spacedrive,TypeScript
explosion/spaCy,Python
tastejs/todomvc,JavaScript
kodecocodes/swift-algorithm-club,Swift
vuejs/vuex,JavaScript
facebookresearch/detectron2,Python
codepath/android_guides,
kenwheeler/slick,JavaScript
trailofbits/algo,Jinja
floating-ui/floating-ui,TypeScript
kubernetes/minikube,Go
labstack/echo,Go
postcss/postcss,TypeScript
karanpratapsingh/system-design,
AMAI-GmbH/AI-Expert-Roadmap,JavaScript
caolan/async,JavaScript
OAI/OpenAPI-Specification,JavaScript
Ebazhanov/linkedin-skill-assessments-quizzes,
SerenityOS/serenity,C++
veggiemonk/awesome-docker,
transloadit/uppy,TypeScript
jobbole/awesome-python-cn,Makefile
calcom/cal.com,TypeScript
lukasz-madon/awesome-remote-job,
GoogleChrome/lighthouse,JavaScript
ZuzooVn/machine-learning-for-software-engineers,
wuyouzhuguli/SpringAll,Java
cheeriojs/cheerio,TypeScript
jaywcjlove/linux-command,Markdown
alibaba/canal,Java
gradio-app/gradio,Python
influxdata/influxdb,Rust
balena-io/etcher,TypeScript
realpython/python-guide,Batchfile
facebookresearch/faiss,C++
encode/django-rest-framework,Python
zeromicro/go-zero,Go
immich-app/immich,TypeScript
jashkenas/underscore,JavaScript
