nameWithOwner,closedIssuesCount
freeCodeCamp/freeCodeCamp,17442
EbookFoundation/free-programming-books,1040
sindresorhus/awesome,312
public-apis/public-apis,549
996icu/996.ICU,0
codecrafters-io/build-your-own-x,426
donnemartin/system-design-primer,80
vuejs/vue,9657
tensorflow/tensorflow,36923
getify/You-Dont-Know-JS,844
CyC2018/CS-Notes,446
twbs/bootstrap,21911
ossu/computer-science,612
Significant-Gravitas/AutoGPT,2091
microsoft/vscode,165366
jackfrued/Python-100-Days,107
jlevy/the-art-of-command-line,131
Snailclimb/JavaGuide,922
airbnb/javascript,1206
ytdl-org/youtube-dl,22718
trimstray/the-book-of-secret-knowledge,0
AUTOMATIC1111/stable-diffusion-webui,5220
golang/go,51997
Chalarangelo/30-seconds-of-code,294
avelino/awesome-go,623
facebook/react-native,24717
electron/electron,18542
justjavac/free-programming-books-zh_CN,0
kubernetes/kubernetes,42832
axios/axios,3977
nodejs/node,15806
Genymobile/scrcpy,2576
mrdoob/three.js,11828
microsoft/TypeScript,34153
goldbergyoni/nodebestpractices,283
angular/angular,25585
microsoft/terminal,10679
ant-design/ant-design,27864
puppeteer/puppeteer,6275
iluwatar/java-design-patterns,704
GrowingGit/GitHub-Chinese-Top-Charts,154
papers-we-love/papers-we-love,217
nvbn/thefuck,467
godotengine/godot,38874
microsoft/Web-Dev-For-Beginners,237
animate-css/animate.css,838
fatedier/frp,3122
iptv-org/iptv,7551
laravel/laravel,0
mtdvio/every-programmer-should-know,18
Hack-with-Github/Awesome-Hacking,0
bitcoin/bitcoin,7471
gin-gonic/gin,1585
opencv/opencv,7936
nvm-sh/nvm,1755
florinpop17/app-ideas,41
FortAwesome/Font-Awesome,13794
spring-projects/spring-boot,32715
gohugoio/hugo,6616
typicode/json-server,532
vuejs/awesome-vue,188
jaywcjlove/awesome-mac,297
tiangolo/fastapi,3354
oven-sh/bun,3352
home-assistant/core,44385
moby/moby,19418
netdata/netdata,7508
massgravel/Microsoft-Activation-Scripts,266
elastic/elasticsearch,30401
krahets/hello-algo,123
mermaid-js/mermaid,1890
microsoft/ML-For-Beginners,0
coder/code-server,3095
CompVis/stable-diffusion,186
ChatGPTNextWeb/ChatGPT-Next-Web,2235
webpack/webpack,9615
