nameWithOwner,createdAt,stargazerCount,commitCount
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,142481,838
GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,87329,382
macrozheng/mall,2018-04-04T01:11:44Z,74995,117
MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,74899,0
doocs/advanced-java,2018-10-06T11:38:30Z,73991,23
krahets/hello-algo,2022-11-04T11:08:34Z,73251,1346
spring-projects/spring-boot,2012-10-19T15:02:57Z,72438,7178
kdn251/interviews,2017-02-14T18:19:25Z,61451,0
spring-projects/spring-framework,2010-12-08T04:04:45Z,54878,3819
google/guava,2014-05-29T16:23:17Z,49298,497
NationalSecurityAgency/ghidra,2019-03-01T03:27:48Z,47144,3275
apache/dubbo,2012-06-19T07:56:02Z,39945,1421
skylot/jadx,2013-03-18T17:08:21Z,38670,289
jeecgboot/jeecg-boot,2018-11-26T10:40:00Z,37527,265
PhilJay/MPAndroidChart,2014-04-25T14:29:47Z,37206,0
dbeaver/dbeaver,2015-10-21T08:26:28Z,37081,1842
eugenp/tutorials,2013-04-29T18:26:36Z,35849,4931
geekxh/hello-algorithm,2020-05-29T05:47:09Z,34654,10
airbnb/lottie-android,2016-10-06T22:42:42Z,34626,103
alibaba/arthas,2018-08-29T17:15:57Z,34558,147
bumptech/glide,2013-07-08T22:52:33Z,34306,181
Blankj/AndroidUtilCode,2016-07-30T18:18:32Z,32882,0
netty/netty,2010-11-09T09:22:21Z,32685,435
zxing/zxing,2011-10-12T14:07:27Z,32152,117
xkcoding/spring-boot-demo,2017-11-10T06:27:29Z,31880,0
termux/termux-app,2015-10-23T09:42:46Z,30224,28
SeleniumHQ/selenium,2013-01-14T21:40:56Z,29148,2201
alibaba/nacos,2018-06-15T06:49:27Z,28891,458
TeamNewPipe/NewPipe,2015-09-03T23:39:26Z,28315,723
wuyouzhuguli/SpringAll,2018-05-02T02:48:44Z,27702,0
alibaba/canal,2013-01-13T10:59:52Z,27628,86
lenve/vhr,2018-01-04T08:57:51Z,26902,4
JakeWharton/butterknife,2013-03-05T08:18:59Z,25575,0
hollischuang/toBeTopJavaer,2018-10-25T09:54:54Z,25131,3
signalapp/Signal-Android,2011-12-15T20:01:12Z,24822,3058
scwang90/SmartRefreshLayout,2017-06-02T09:52:50Z,24662,32
greenrobot/EventBus,2012-07-16T16:55:40Z,24572,0
YunaiV/ruoyi-vue-pro,2021-01-24T03:18:25Z,23676,3058
DrKLO/Telegram,2013-10-25T14:08:10Z,23592,54
google/gson,2015-03-19T18:21:20Z,22912,222
libgdx/libgdx,2012-08-10T19:34:38Z,22621,143
redisson/redisson,2014-01-11T14:06:25Z,22615,1323
bazelbuild/bazel,2014-06-12T16:00:38Z,22222,4816
