nameWithOwner,createdAt,stargazerCount,commitCount,CBO,DIT,LCOM,LOC
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,142481,838,0,0,0,1
GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,87329,382,0,1,0,2
macrozheng/mall,2018-04-04T01:11:44Z,74995,117,2976,942,844169,761
MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,74899,0,4,4,0,5
doocs/advanced-java,2018-10-06T11:38:30Z,73991,23,0,0,0,1
krahets/hello-algo,2022-11-04T11:08:34Z,73251,1346,219,108,506,109
spring-projects/spring-boot,2012-10-19T15:02:57Z,72438,7178,65419,16252,147523,12556
kdn251/interviews,2017-02-14T18:19:25Z,61451,0,344,258,75,258
spring-projects/spring-framework,2010-12-08T04:04:45Z,54878,3819,87978,24661,514524,16699
google/guava,2014-05-29T16:23:17Z,49298,497,25716,11062,315069,6493
NationalSecurityAgency/ghidra,2019-03-01T03:27:48Z,47144,3275,0,0,0,1
apache/dubbo,2012-06-19T07:56:02Z,39945,1421,23257,5700,183607,4454
skylot/jadx,2013-03-18T17:08:21Z,38670,289,11328,4122,79615,2597
jeecgboot/jeecg-boot,2018-11-26T10:40:00Z,37527,265,5383,853,38291,720
PhilJay/MPAndroidChart,2014-04-25T14:29:47Z,37206,0,2706,606,27856,307
dbeaver/dbeaver,2015-10-21T08:26:28Z,37081,1842,61522,13438,432315,8346
eugenp/tutorials,2013-04-29T18:26:36Z,35849,4931,80892,22240,123291,19914
geekxh/hello-algorithm,2020-05-29T05:47:09Z,34654,10,6,3,0,4
airbnb/lottie-android,2016-10-06T22:42:42Z,34626,103,1914,362,8773,279
alibaba/arthas,2018-08-29T17:15:57Z,34558,147,4028,1179,33815,857
bumptech/glide,2013-07-08T22:52:33Z,34306,181,8949,1858,29801,1505
Blankj/AndroidUtilCode,2016-07-30T18:18:32Z,32882,0,2782,914,97104,671
netty/netty,2010-11-09T09:22:21Z,32685,435,28965,10330,454714,6842
zxing/zxing,2011-10-12T14:07:27Z,32152,117,2876,1015,13570,596
xkcoding/spring-boot-demo,2017-11-10T06:27:29Z,31880,0,2434,545,1119,483
termux/termux-app,2015-10-23T09:42:46Z,30224,28,1895,455,18877,320
SeleniumHQ/selenium,2013-01-14T21:40:56Z,29148,2201,10825,2614,58647,1847
alibaba/nacos,2018-06-15T06:49:27Z,28891,458,15600,3710,47634,2863
TeamNewPipe/NewPipe,2015-09-03T23:39:26Z,28315,723,4767,940,24924,570
wuyouzhuguli/SpringAll,2018-05-02T02:48:44Z,27702,0,1941,415,1402,374
alibaba/canal,2013-01-13T10:59:52Z,27628,86,6044,1446,77346,1044
lenve/vhr,2018-01-04T08:57:51Z,26902,4,417,96,4543,95
JakeWharton/butterknife,2013-03-05T08:18:59Z,25575,0,1081,336,2851,273
hollischuang/toBeTopJavaer,2018-10-25T09:54:54Z,25131,3,0,0,0,1
signalapp/Signal-Android,2011-12-15T20:01:12Z,24822,3058,27721,6459,142481,4156
scwang90/SmartRefreshLayout,2017-06-02T09:52:50Z,24662,32,2549,656,11350,395
greenrobot/EventBus,2012-07-16T16:55:40Z,24572,0,627,336,1657,184
YunaiV/ruoyi-vue-pro,2021-01-24T03:18:25Z,23676,3058,23646,3785,50424,3050
DrKLO/Telegram,2013-10-25T14:08:10Z,23592,54,79929,19474,842950,11961
google/gson,2015-03-19T18:21:20Z,22912,222,3257,1343,21379,1104
libgdx/libgdx,2012-08-10T19:34:38Z,22621,143,20539,7104,14086984,4031
redisson/redisson,2014-01-11T14:06:25Z,22615,1323,14853,3394,411680,2521
