nameWithOwner,createdAt,stargazerCount,commitCount
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,142382,834
GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,87151,380
iluwatar/java-design-patterns,2014-08-09T16:45:18Z,86199,306
MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,74889,0
spring-projects/spring-boot,2012-10-19T15:02:57Z,72411,7178
spring-projects/spring-framework,2010-12-08T04:04:45Z,54862,3803
apache/dubbo,2012-06-19T07:56:02Z,39940,1417
jeecgboot/jeecg-boot,2018-11-26T10:40:00Z,37506,263
eugenp/tutorials,2013-04-29T18:26:36Z,35842,4913
halo-dev/halo,2018-03-21T12:56:52Z,31124,895
alibaba/easyexcel,2018-02-06T03:14:08Z,30751,203
termux/termux-app,2015-10-23T09:42:46Z,30170,26
ityouknow/spring-boot-examples,2016-11-05T05:32:33Z,29863,0
doocs/leetcode,2018-09-16T14:03:03Z,28552,2751
dromara/hutool,2014-04-13T07:23:51Z,28187,705
alibaba/spring-cloud-alibaba,2017-12-01T20:49:15Z,27162,122
crossoverJie/JCSprout,2017-12-17T09:06:50Z,27074,0
apache/incubator-seata,2018-12-28T08:37:22Z,24878,313
signalapp/Signal-Android,2011-12-15T20:01:12Z,24821,3042
redisson/redisson,2014-01-11T14:06:25Z,22607,1303
bazelbuild/bazel,2014-06-12T16:00:38Z,22216,4791
alibaba/Sentinel,2018-04-04T06:37:33Z,21882,56
apache/rocketmq,2016-11-30T08:00:08Z,20448,712
didi/DoKit,2018-08-14T10:32:07Z,19908,36
oracle/graal,2016-01-14T17:11:35Z,19713,10441
CarGuo/GSYVideoPlayer,2016-11-13T12:34:31Z,19577,67
mybatis/mybatis-3,2013-02-14T19:03:32Z,19336,544
brettwooldridge/HikariCP,2013-10-08T05:43:03Z,19318,26
Baseflow/PhotoView,2012-07-17T16:39:00Z,18685,0
Tencent/tinker,2016-09-06T06:57:52Z,17030,25
doocs/source-code-hunter,2019-10-28T01:35:10Z,16771,19
winterbe/java8-tutorial,2014-03-16T17:25:43Z,16584,1
barry-ran/QtScrcpy,2019-06-23T04:12:17Z,15808,8
dyc87112/SpringBoot-Learning,2016-08-21T03:39:06Z,15548,0
dromara/Sa-Token,2020-02-03T10:34:29Z,15214,458
kunal-kushwaha/DSA-Bootcamp-Java,2021-07-30T12:23:25Z,15211,44
eclipse-vertx/vert.x,2011-06-17T14:54:55Z,14019,613
arduino/Arduino,2010-09-17T19:10:36Z,13972,0
lgvalle/Material-Animations,2015-03-08T20:54:00Z,13544,0
Curzibn/Luban,2016-07-24T07:43:21Z,13480,0
Bigkoo/Android-PickerView,2014-12-28T01:46:38Z,13397,0
questdb/questdb,2014-04-28T23:29:15Z,13380,729
seaswalker/spring-analysis,2016-09-09T07:46:32Z,13349,2
JessYanCoding/AndroidAutoSize,2018-08-17T09:04:19Z,13298,0
pinpoint-apm/pinpoint,2014-10-20T09:27:22Z,13189,782
Netflix/zuul,2013-03-13T18:53:57Z,13125,246
LuckSiege/PictureSelector,2017-01-04T07:47:39Z,13027,139
facebookarchive/stetho,2015-01-22T22:34:10Z,12666,0
greenrobot/greenDAO,2011-10-22T16:15:14Z,12608,1
zhihu/Matisse,2017-04-13T01:31:05Z,12486,0
daimajia/AndroidSwipeLayout,2014-08-25T04:09:33Z,12352,0
google/guice,2014-05-28T23:18:53Z,12326,84
Netflix/eureka,2012-07-26T22:23:07Z,12187,18
codecentric/spring-boot-admin,2014-07-25T11:39:13Z,12127,1032
pagehelper/Mybatis-PageHelper,2014-06-09T15:32:30Z,12035,58
apache/zookeeper,2009-03-27T15:41:56Z,11891,109
Yalantis/uCrop,2016-01-05T13:41:06Z,11745,17
itwanger/toBeBetterJavaer,2018-11-08T00:35:56Z,11676,383
languagetool-org/languagetool,2013-08-08T16:37:22Z,11483,12673
frank-lam/fullstack-tutorial,2018-04-13T01:50:10Z,11436,0
apache/doris,2017-08-10T12:13:30Z,11184,10196
careercup/CtCI-6th-Edition,2015-07-02T06:28:46Z,11125,0
androidannotations/androidannotations,2012-01-06T08:48:03Z,11082,0
lingochamp/FileDownloader,2015-12-22T11:17:16Z,10947,0
newbee-ltd/newbee-mall,2019-09-21T03:56:04Z,10762,4
